t,i,j,k,v,q
2018,300,276,300490,195533.417,6237.265
2018,300,276,330210,0.506,0.018
2018,300,276,711319,646.173,0.535
2018,300,400,300490,7035.142,420.923
2018,300,400,330210,23.026,2.031
2018,300,400,711319,14.594,0.003
2018,300,634,300490,131.5,7.441
2018,300,634,711319,1586.581,0.019
2018,300,682,300490,4528.276,127.103
2018,300,682,330210,370.36,8.97
2018,300,682,711319,38.498,0.004
2018,300,784,300490,7608.441,253.245
2018,300,784,330210,0.921,0.02
2018,300,784,711319,168.105,0.009
2018,300,818,300490,491.048,40.04
2018,300,818,330210,9.477,0.5
2018,380,276,280920,1449.597,855.037
2018,380,276,300490,1517661.15,23597.748
2018,380,276,330210,10649.741,1650.839
2018,380,276,711319,127655.583,1.922
2018,380,400,300490,15357.617,708.691
2018,380,400,330210,932.531,49.084
2018,380,400,711319,96712.017,2.374
2018,380,634,300490,3248.245,231.299
2018,380,634,711319,24153.518,0.188
2018,380,682,300490,19565.708,1386.229
2018,380,682,330210,311.86,33.501
2018,380,682,711319,8670.915,0.229
2018,380,784,280920,4.79,3.871
2018,380,784,300490,63867.235,3466.803
2018,380,784,330210,470.863,40.624
2018,380,784,711319,856801.516,32.002
2018,380,818,280920,21.343,11.446
2018,380,818,300490,11826.67,501.256
2018,380,818,330210,176.587,8.601
2018,380,818,711319,3318.112,0.099
2018,400,276,300490,93.126,3.544
2018,400,276,330210,9.514,0.552
2018,400,276,711319,71.883,0.009
2018,400,634,300490,13821.751,297.432
2018,400,634,330210,26.111,1.58
2018,400,682,280920,3895.571,7770.51
2018,400,682,300490,49895.367,677.657
2018,400,682,330210,1372.144,1180.57
2018,400,682,711319,481.849,0.011
2018,400,784,280920,23.138,26.076
2018,400,784,300490,42844.356,446.791
2018,400,784,330210,88.159,10.072
2018,400,784,711319,1119.197,0.052
2018,400,818,280920,3980.798,5463.8
2018,400,818,300490,6799.697,283.26
2018,400,818,330210,2.859,0.25
2018,422,276,300490,1.28,0.06
2018,422,276,330210,0.958,0.386
2018,422,276,711319,2506.263,0.028
2018,422,400,300490,4302.056,128.022
2018,422,400,711319,1936.105,0.043
2018,422,784,300490,9447.45,75.665
2018,422,784,330210,0.09,0.15
2018,422,784,711319,208651.125,7.757
2018,682,276,300490,19.963,0.151
2018,682,276,711319,24.665,0.001
2018,682,400,300490,9942.988,1233.84
2018,682,400,330210,13.182,4.53
2018,682,400,711319,149.12,0.004
2018,682,784,300490,45833.024,5221.382
2018,682,784,330210,1.593,0.094
2018,682,784,711319,59598.616,2.014
2018,784,276,300490,9.152,0.067
2018,784,276,330210,510.377,2.565
2018,784,276,711319,8881.723,0.289
2018,784,400,300490,4236.167,228.79
2018,784,400,330210,138.729,80.769
2018,784,400,711319,40619.025,2.031
2018,784,682,280920,34.047,18.987
2018,784,682,300490,26955.65,1508.599
2018,784,682,330210,12369.767,466.174
2018,784,682,711319,330865.173,10.936
2018,784,818,280920,70.558,27.005
2018,784,818,300490,26160.395,487.55
2018,784,818,330210,1248.735,26.707
2018,784,818,711319,10768.047,0.437
2018,792,276,300490,76767.62,1051.337
2018,792,276,330210,10495.79,597.058
2018,792,276,711319,290423.607,9.017
2018,792,400,280920,1.643,1.524
2018,792,400,300490,3552.949,781.624
2018,792,400,330210,2979.729,240.879
2018,792,400,711319,125883.966,3.007
2018,792,634,300490,5132.709,168.83
2018,792,634,310311,1.763,3.5
2018,792,634,330210,5.505,0.865
2018,792,634,711319,95232.704,2.57
2018,792,682,300490,12526.269,150.262
2018,792,682,330210,2237.753,396.639
2018,792,682,711319,90563.5,2.608
2018,792,784,300490,11490.873,915.115
2018,792,784,330210,3842.932,346.007
2018,792,784,711319,841668.43,25.458
2018,792,818,280920,5.052,2.957
2018,792,818,300490,546.072,7.619
2018,792,818,330210,1655.777,141.424
2018,792,818,711319,3699.113,0.119
2018,818,276,300490,1133.504,614.708
2018,818,276,330210,0.835,0.442
2018,818,276,711319,4.061,
2018,818,400,300490,4051.487,191.859
2018,818,400,330210,5346.7,324.005
2018,818,400,711319,105.672,0.006
2018,818,784,300490,4785.411,258.341
2018,818,784,310311,43.098,251.44
2018,818,784,330210,762.486,229.272
2018,818,784,711319,6094.194,0.247
2019,300,276,300490,266043.177,6095.588
2019,300,276,330210,3.076,0.251
2019,300,276,711319,411.816,0.134
2019,300,400,300490,6913.68,524.542
2019,300,400,330210,13.651,1.429
2019,300,634,300490,98.116,2.76
2019,300,634,711319,1253.816,0.026
2019,300,682,300490,5302.107,136.277
2019,300,682,330210,386.879,11.82
2019,300,682,711319,262.542,0.007
2019,300,784,300490,8259.448,348.132
2019,300,784,711319,52.628,0.007
2019,300,818,300490,746.019,54.566
2019,300,818,330210,17.865,1.0
2019,380,276,280920,948.999,444.372
2019,380,276,300490,1608817.082,19539.117
2019,380,276,330210,9221.104,1582.94
2019,380,276,711319,138148.921,5.436
2019,380,400,300490,26822.863,390.833
2019,380,400,330210,99.037,7.379
2019,380,400,711319,51521.215,1.305
2019,380,634,300490,2239.736,112.143
2019,380,634,711319,16153.422,0.187
