country_name,country_code,indicator_name,indicator_code,category,year,value
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,99.9413986206055
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,96.8
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1990,100.0
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,99.9673919677734
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,97.8546829223633
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1991,100.0
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,99.9871826171875
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,93.4
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,97.9748611450195
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1992,100.0
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1993,100.0
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1993,100.0
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1993,99.9971389770508
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,infrastructure,1993,100.0
