country_name,country_code,indicator_name,indicator_code,category,year,value
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,3.7288215039735
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,1.35869565217392
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,1.53661234295201
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,0.332829047091752
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,1.74118084746923
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,1.74118084746923
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,4.13993575518437
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,1.00357570390172
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,1.47784758493376
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,1.77987784677391
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,3.478237904096
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,2.3501614137705
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,5.66473988439309
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1960,1.45797598627791
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,2.28758040719309
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,1.01876675603211
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,2.29369500700884
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,0.693606754935329
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,1.87084961406327
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,2.07713833137861
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,2.40046104546311
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,3.4474962304662
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,2.10357934997025
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,1.69521293914433
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,0.916260431846679
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,2.05069731278698
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,3.17285699708268
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1961,1.07072414764724
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,-0.319488641462281
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,1.06157112526535
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,2.84327019799062
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,-3.00307658790784
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,2.75266718866917
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,3.55349865974074
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,5.33128007065639
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,4.19649888238551
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,-0.475428291049914
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,3.63221497106987
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,1.2923621654152
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,4.69114360740471
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,3.88832025146503
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1962,1.19877334820186
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,0.641025285901932
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,1.62815126050428
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,2.9669597758771
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,0.74664570813543
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,2.92164111900195
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,2.92164111900195
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,4.9991528979685
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,2.01854355976229
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,3.18466272791608
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,2.94616135685225
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,3.95495742929742
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,7.45471822539103
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,6.36270692832311
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1963,1.23966942148753
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,2.86622669884314
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,1.91214470284237
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,2.33573581177832
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,3.66098294885468
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,3.65673101579698
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,3.41628039655559
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,3.21119170293105
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,3.28158694697213
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,0.617302978512524
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,13.3552611508153
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,-0.0901365196717364
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,5.91232253218587
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,2.79999999899983
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,1.11963781543112
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1964,1.27891156462591
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,3.40558476676981
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,2.33265720081135
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,3.24231923668133
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,14.8390044616241
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,3.66647708569613
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,3.98661388434157
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,2.70310455873084
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,4.77377455386914
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,3.22087246997095
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,9.47475859170695
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,-0.455580865857809
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,4.51926830743458
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,0.389105059342286
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,4.55553368394828
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1965,1.58516926383662
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,3.2934114693033
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,3.81565906838453
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,3.53306035477689
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,9.0364406581763
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,3.43237006366131
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,3.70335718669507
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,2.60200076636451
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,3.90961779211889
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,4.90341596130601
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,10.8018483489341
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,1.98321891712163
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,2.34658893413318
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,1.55038759593042
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,8.47199621539225
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1966,3.0150753768844
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,3.47825912694824
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,3.57995226730312
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,1.79604992213175
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,0.70189748435374
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,2.98754606695161
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,3.31931754624678
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,2.79177709435142
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,2.48211441258618
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,1.84135702750597
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,13.062202477797
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,3.29094988781672
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,3.73333832073822
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,2.09923664219521
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,13.9748929481675
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1967,2.77278562259309
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,2.52100718278494
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,4.05529953917047
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,1.470289313277
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,-1.6757594245691
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,3.24282812207263
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,3.24282812207263
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,4.54320486402014
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,4.69742920620478
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,0.139060583507755
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,3.23741242627507
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,2.19647598286799
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,1.27731335390797
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,1.58878504672938
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,6.04623966197407
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1968,4.27179615288537
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,3.27868697620866
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,4.56155890168292
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,1.91267848797596
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,3.40982028243742
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,2.64808571111228
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,2.6746236597134
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,6.045962841739
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,5.44666363048887
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,2.63891868835485
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,-0.584136610466281
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,5.73925366136733
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,2.65725273386972
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,3.49586016559326
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,4.92419394498296
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1969,5.46238620028745
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,3.43915186655203
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,3.34603981363832
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,3.45024936360895
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,3.76289859580536
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,4.1406484002702
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,4.50608892986039
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,5.29964124562667
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,6.36656841727441
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,2.84167067884117
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,5.09226161997545
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,4.35559526470565
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,4.96831987329335
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,5.89999999899992
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,0.177777777777784
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,7.92395208301997
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1970,5.83825533848251
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,6.13810838730341
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,2.70491803278685
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,5.24097448273094
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,3.14042171394198
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,5.0163194330344
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,5.24097448273094
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,5.39751865595111
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,9.44483742337133
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,3.28947072230333
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,3.07993868406546
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,3.59589041076037
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,4.79166438333786
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,4.81586402365268
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,4.47499999974997
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,19.0114086837675
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1971,4.29276668813051
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,6.02410407984535
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,4.98802873104551
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,5.4849331221432
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,2.10236334610113
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,5.90625351724097
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,6.00738969862494
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,6.06300309718186
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,7.07109839479797
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,4.33120123203348
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,6.44209746158235
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,5.18595041325518
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,5.74950393730007
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,7.6576576576576
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,4.33117970783497
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,15.4164557223962
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1972,3.27227824655283
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,9.09090432931634
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,7.48764728240211
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,7.03202399303898
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,5.11218403908757
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,7.91554304509176
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,7.74908612919204
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,7.38060106398917
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,9.19603316657812
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,15.3846240702128
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,16.9408159791736
Iraq,IRQ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,4.8909840899257
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,10.7986174547602
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,11.1297071121337
Kuwait,KWT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,8.26666666600006
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,16.5137614681954
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,inflation,1973,13.9381652448957
